13,51,255.0,72.0,41.0,37.0,1,3,1,-1
13,9,800.0,338.0,38.0,35.0,1,3,1,-1
13,1,894.0,287.0,29.0,24.0,1,2,1,-1
13,13,919.0,321.0,24.0,26.0,1,2,1,-1
13,2,950.0,269.0,64.0,50.0,1,1,1,-1
13,59,309.12,191.94,42.36,31.92,1,3,1,-1
13,49,347.0,102.0,52.0,35.0,1,3,1,-1
13,25,780.0,286.0,59.0,46.0,1,2,1,-1
13,40,792.0,223.0,30.0,26.0,1,2,1,-1
13,10,991.26,109.15,50.69,34.7,1,3,1,-1
13,28,939.91,50.51,43.8,35.3,1,3,1,-1
13,60,1055.0,18.0,45.0,31.0,1,3,1,-1
13,70,20.37,51.25,31.5,25.3,1,2,1,-1
13,71,389.19,284.67,36.7,39.0,1,3,1,-1
13,72,331.68,225.66,48.84,37.08,1,3,1,-1
13,73,139.47,35.75,23.5,15.3,1,2,1,-1
13,74,437.0,270.0,58.0,54.0,1,1,1,-1
13,75,919.78,289.73,38.76,31.32,1,1,1,-1
14,73,195.7,30.3,24.7,20.4,1,2,1,-1
14,75,979.72,288.6,28.08,30.24,1,1,1,-1
14,13,993.8,319.92,25.4,23.0,1,2,1,-1
14,74,500.0,269.0,55.0,51.0,1,1,1,-1
14,1,956.8,285.6,24.36,25.44,1,2,1,-1
14,25,840.0,289.0,59.0,42.0,1,2,1,-1
14,60,1124.42,64.18,41.5,26.7,1,3,1,-1
14,55,1123.6,22.7,20.2,22.1,1,2,1,-1
14,71,452.51,283.05,38.76,40.56,1,3,1,-1
14,68,409.92,231.38,20.8,19.2,1,2,1,-1
14,51,319.0,71.0,44.0,37.2,1,3,1,-1
14,9,856.0,337.0,36.0,32.0,1,3,1,-1
14,2,1009.0,267.0,62.0,53.0,1,1,1,-1
14,40,864.0,224.0,31.0,26.0,1,2,1,-1
14,70,76.0,46.0,31.1,28.0,1,2,1,-1
14,49,415.0,100.0,52.0,35.0,1,3,1,-1
14,76,1056.0,116.0,21.0,20.0,1,2,1,-1
14,77,385.0,198.0,19.0,17.0,1,2,1,-1
15,25,900.0,288.0,66.0,41.0,1,2,1,-1
15,68,459.0,197.0,18.0,17.0,1,2,1,-1
15,51,396.3,72.0,44.7,36.0,1,3,1,-1
15,1,1021.79,282.69,32.83,24.36,1,2,1,-1
